# Year,C_FDBK,AG_FDBK,FULL_FDBK,CONTROL
2.032000000000000000e+03,2.826772216886172373e+02,2.828114579990351558e+02,2.828114579990351558e+02,2.826772216886172373e+02
2.033000000000000000e+03,2.826861129372252321e+02,2.824681094442707376e+02,2.824681094442707376e+02,2.826861129372252321e+02
2.034000000000000000e+03,2.824028392596823664e+02,2.822723720248395125e+02,2.822723720248395125e+02,2.824028392596823664e+02
2.035000000000000000e+03,2.824310692622086094e+02,2.824050779787391434e+02,2.824192331776862375e+02,2.824228889960996298e+02
2.036000000000000000e+03,2.826687113074502804e+02,2.827582700255703685e+02,2.826473036079338499e+02,2.825112557817778907e+02
2.037000000000000000e+03,2.827362705891982273e+02,2.825527005670438712e+02,2.826995227199029159e+02,2.826500720830598539e+02
2.038000000000000000e+03,2.828623104646065372e+02,2.826988278314485683e+02,2.828793771885381148e+02,2.828261277582790285e+02
2.039000000000000000e+03,2.822433606002973647e+02,2.824081435574174179e+02,2.825106202541492166e+02,2.823670396664766713e+02
2.040000000000000000e+03,2.825256282129014380e+02,2.826214040979475612e+02,2.825872704255165218e+02,2.826608839126301405e+02
2.041000000000000000e+03,2.826742834400328093e+02,2.827205961872801367e+02,2.829226727140976436e+02,2.826516737773674777e+02
2.042000000000000000e+03,2.831389406701767939e+02,2.830031465310801764e+02,2.829786126943634486e+02,2.828904314767644337e+02
2.043000000000000000e+03,2.828623350173817812e+02,2.830173877395966997e+02,2.828302644517793283e+02,2.830541606108035921e+02
2.044000000000000000e+03,2.828103886807576828e+02,2.831226868077906147e+02,2.827350675780650135e+02,2.828312773286161246e+02
2.045000000000000000e+03,2.828081656066096912e+02,2.830426025415476374e+02,2.828342240359310154e+02,2.829587196316007862e+02
2.046000000000000000e+03,2.830629098575374201e+02,2.830349592176861506e+02,2.830796555239895724e+02,2.829427259687478795e+02
2.047000000000000000e+03,2.830038912736453653e+02,2.828783978471992668e+02,2.831178003563717311e+02,2.828544894325482915e+02
2.048000000000000000e+03,2.830187978773435020e+02,2.830576227766875377e+02,2.829955255143133854e+02,2.830081394277627282e+02
2.049000000000000000e+03,2.829319846535505008e+02,2.831354398037292412e+02,2.829950845374863775e+02,2.830823884425050210e+02
2.050000000000000000e+03,2.830928605754464229e+02,2.831248352504845229e+02,2.831301757785342375e+02,2.831415934927484841e+02
2.051000000000000000e+03,2.831769328711295657e+02,2.830511038651358717e+02,2.828575700572870346e+02,2.830657536378217287e+02
2.052000000000000000e+03,2.830105869202654389e+02,2.830982838194008195e+02,2.831649779152438100e+02,2.830803136581369586e+02
2.053000000000000000e+03,2.833426612598103702e+02,2.833205246872054204e+02,2.832894406491197969e+02,2.831744829832341566e+02
2.054000000000000000e+03,2.832502315886696920e+02,2.833640403643262289e+02,2.831845015635369123e+02,2.829884487756841054e+02
2.055000000000000000e+03,2.832453847360866348e+02,2.831317766494255466e+02,2.832905822034588255e+02,2.829666385753361055e+02
2.056000000000000000e+03,2.836138786264133387e+02,2.833498807488739999e+02,2.835895119431942817e+02,2.833956430797899202e+02
2.057000000000000000e+03,2.833013019601218048e+02,2.831530822453277665e+02,2.833056625479845820e+02,2.830950131352216204e+02
2.058000000000000000e+03,2.833080516527899135e+02,2.831912362101445524e+02,2.831420279571013907e+02,2.834241789440229695e+02
2.059000000000000000e+03,2.833555704802673745e+02,2.831679898970102727e+02,2.833154537156917172e+02,2.834053394797730334e+02
2.060000000000000000e+03,2.831846043408554010e+02,2.831084714246016460e+02,2.830674798176942772e+02,2.832767806243606969e+02
2.061000000000000000e+03,2.831042177311386467e+02,2.832029846382649794e+02,2.832776755281064993e+02,2.832467861905346922e+02
2.062000000000000000e+03,2.835561168751344781e+02,2.835912947890756755e+02,2.835154625694631818e+02,2.834869249086856939e+02
2.063000000000000000e+03,2.832964113916216320e+02,2.830663553305284381e+02,2.833490109218956832e+02,2.832092193215001998e+02
2.064000000000000000e+03,2.834408662976338178e+02,2.833707616865620480e+02,2.834635136877344053e+02,2.834644407047135815e+02
2.065000000000000000e+03,2.836301581644150929e+02,2.834401485032366281e+02,2.835908250675361160e+02,2.837457943252863970e+02
2.066000000000000000e+03,2.835218194925827788e+02,2.832648702826643330e+02,2.834283063553764350e+02,2.837378569669695594e+02
2.067000000000000000e+03,2.836020694152029478e+02,2.833851032770043616e+02,2.834351330000354210e+02,2.838086170922279052e+02
2.068000000000000000e+03,2.836377859930800014e+02,2.836122255808745081e+02,2.837349268776914641e+02,2.835817084274452782e+02
2.069000000000000000e+03,2.835320401841455009e+02,2.837004414568118591e+02,2.838219207290660506e+02,2.835314583282847707e+02
2.070000000000000000e+03,2.837722119886583414e+02,2.837520664365326866e+02,2.837005306103344537e+02,2.836331744878307859e+02
2.071000000000000000e+03,2.837112952057546522e+02,2.834825743515299337e+02,2.839177945257893043e+02,2.837264505560145835e+02
2.072000000000000000e+03,2.839865425960263110e+02,2.837049710695728777e+02,2.836616791371024533e+02,2.837706468240895674e+02
2.073000000000000000e+03,2.835738398618128713e+02,2.837378308422177611e+02,2.836818336719508125e+02,2.836716480878624793e+02
2.074000000000000000e+03,2.835563920458722009e+02,2.838300671602528951e+02,2.835847326107431741e+02,2.835850994801081697e+02
2.075000000000000000e+03,2.838430841733820102e+02,2.838819748711696320e+02,2.840620335470333657e+02,2.839539442206111062e+02
2.076000000000000000e+03,2.835899890006239161e+02,2.836630439120997380e+02,2.836623002923749368e+02,2.836655920110962938e+02
2.077000000000000000e+03,2.837891942001407983e+02,2.836211002863016120e+02,2.835159886575874566e+02,2.839342211558747522e+02
2.078000000000000000e+03,2.838726555209703974e+02,2.837508569877815603e+02,2.837553949095609482e+02,2.837184216487826802e+02
2.079000000000000000e+03,2.839039656242431988e+02,2.838945644564117856e+02,2.839531741767104336e+02,2.838129197415294698e+02
2.080000000000000000e+03,2.836402583377821429e+02,2.838731782405736794e+02,2.837188537177429453e+02,2.835783527816809055e+02
2.081000000000000000e+03,2.836629374668361265e+02,2.838955866902513208e+02,2.839030809757725251e+02,2.836961415771832549e+02
2.082000000000000000e+03,2.838905640008719047e+02,2.838867574972856573e+02,2.838482986438903595e+02,2.838866864589206216e+02
2.083000000000000000e+03,2.841951613894742650e+02,2.840607292557020855e+02,2.841163049117079140e+02,2.840544745110528879e+02
2.084000000000000000e+03,2.839399881386832476e+02,2.839318956038322881e+02,2.838727733443495254e+02,2.837237931672256082e+02
2.085000000000000000e+03,2.836595655773148792e+02,2.837174259888310530e+02,2.837987568324121526e+02,2.837803330436536839e+02
2.086000000000000000e+03,2.837794744450787334e+02,2.840057459354001708e+02,2.838208129347931958e+02,2.838715522929148278e+02
2.087000000000000000e+03,2.840999317288222414e+02,2.842252250651208669e+02,2.840450517098310570e+02,2.841438284230962950e+02
2.088000000000000000e+03,2.838524840686610560e+02,2.836892713663192467e+02,2.836587762205605259e+02,2.838541187744744434e+02
2.089000000000000000e+03,2.837981814141693349e+02,2.836740700544615947e+02,2.836819306104996485e+02,2.837714226319039881e+02
2.090000000000000000e+03,2.839871602330656515e+02,2.837110900253977661e+02,2.840209414084881132e+02,2.837980298307242606e+02
2.091000000000000000e+03,2.836750379428289648e+02,2.836681865956826982e+02,2.838159910092654172e+02,2.838701351187020805e+02
2.092000000000000000e+03,2.838603264346856463e+02,2.838338488864958435e+02,2.838955451451590193e+02,2.838237040240835540e+02
2.093000000000000000e+03,2.838908345305362673e+02,2.841851544118549668e+02,2.839264485556628870e+02,2.840221180703014738e+02
2.094000000000000000e+03,2.838100839708394574e+02,2.838478462889480056e+02,2.840745994777724945e+02,2.838304105248268456e+02
2.095000000000000000e+03,2.839954684281166806e+02,2.843009057761443614e+02,2.840552119925838497e+02,2.840399650185527207e+02
2.096000000000000000e+03,2.837899497219731302e+02,2.839690919355567758e+02,2.839671072778394887e+02,2.838255312595861710e+02
2.097000000000000000e+03,2.838412856077359834e+02,2.839753950371963356e+02,2.839546379113689909e+02,2.839602678328006959e+02
2.098000000000000000e+03,2.840815244832446638e+02,2.838675686799800246e+02,2.839467844666531278e+02,2.838322685261546212e+02
2.099000000000000000e+03,2.838787730545308818e+02,2.840029151800637237e+02,2.839434202124462558e+02,2.836457890749842932e+02
2.100000000000000000e+03,nan,nan,nan,nan
