"year","region","agglt","gcam_reg_code","reg_agglt_area_thous_sqkm","above_wsum","below_wsum","above_scalar","below_scalar","above_scalar_min","above_scalar_max","below_scalar_min","below_scalar_max"
2025,"Africa_Eastern","Crop",2,526.276940638757,558.470120555739,540.530925490178,1.06117155708534,1.02708457040531,0.963335519297573,1.17890476800209,0.98075258217629,1.08979062091083
2025,"Africa_Eastern","Forest",2,163.998014,169.35284420838,166.67657327515,1.03265179911496,1.01633287629416,1.03265179911496,1.03265179911496,1.01633287629416,1.01633287629416
2025,"Africa_Eastern","Grassland",2,956.6390152,1042.18934341759,989.840928138232,1.08942801501745,1.03470683550502,1.0807084928565,1.1171470978749,1.02955615722215,1.05108067749537
2025,"Africa_Eastern","Pasture",2,2467.0121581,2639.56683963254,2522.17746081333,1.06994480386568,1.02236117991239,1.06953705975613,1.07110700895483,1.02138512653881,1.02268243563634
2025,"Africa_Eastern","Shrubland",2,560.680722,565.5887779953,548.31263434034,1.00875374487247,0.977940943616642,0.995255958192438,1.02475504135318,0.974544205856855,0.980806239047227
2025,"Africa_Northern","Crop",3,184.482998755921,205.713706485176,190.979884323805,1.11508219116356,1.03521671705087,1,1.18899154742048,0.994847656811959,1.06228614597877
2025,"Africa_Northern","Forest",3,32.2631642,35.451930500784,32.89666568545,1.0988361303007,1.01963544187802,1.0988361303007,1.0988361303007,1.01963544187802,1.01963544187802
2025,"Africa_Northern","Grassland",3,47.916942,56.064442767,51.06018564062,1.17003382158653,1.06559775122169,1.13769198089816,1.18836342118339,1.05121687512112,1.07374805111697
2025,"Africa_Northern","Pasture",3,742.6166,878.9248013444,794.2780407212,1.18355124480708,1.06956677338104,1.17095552620699,1.18784575556273,1.06296316228807,1.07181819863699
2025,"Africa_Northern","Shrubland",3,56.6673448,63.488997504052,58.100223809884,1.12038066593958,1.0252857975778,1.10834173605351,1.12954599119081,1.02199852242798,1.02960373218024
2025,"Africa_Southern","Crop",4,368.357133556681,409.994162670757,385.6104292606,1.11303440417198,1.04683850028186,0.998459051322833,1.23700578723989,0.998907861931728,1.10223317812523
2025,"Africa_Southern","Forest",4,586.516617612,705.154114575326,635.376358384531,1.20227474107444,1.08330495557221,1.19779375792741,1.20279099001269,1.08313984216428,1.08470677879371
2025,"Africa_Southern","Grassland",4,1814.1729899,2048.55857582971,1916.93806558892,1.1291969328364,1.05664568718697,1.12202682814659,1.13138816950114,1.05153069291296,1.05820886701182
2025,"Africa_Southern","Pasture",4,2188.078624,2427.51742591822,2292.37554376755,1.10942879259087,1.04766598358193,1.05924848460348,1.11389884528234,1.02380135592591,1.04979183114602
2025,"Africa_Southern","Shrubland",4,331.04320511,342.453744712577,335.61163106101,1.03446843018205,1.01380008977829,1.02490419801271,1.04342443651825,1.00885051794493,1.01843489954829
2025,"Africa_Western","Crop",5,1253.02766082597,1314.94471282589,1270.89989902535,1.04941395464415,1.01426324314947,0.996556955939125,1.09108855905423,0.993869167200299,1.0398232604915
2025,"Africa_Western","Forest",5,2253.947468848,2363.86668324651,2265.28888323862,1.04876742511426,1.00503180067299,1.04870367097723,1.04937836128164,1.00487599046495,1.00654232611979
2025,"Africa_Western","Grassland",5,2206.93263327,2330.53185458402,2231.66720966574,1.05600498150724,1.01120767169005,1.05469069165027,1.05624921652521,1.00978124473795,1.01147274518995
2025,"Africa_Western","Pasture",5,2397.33873137,2481.9387257362,2410.13044353941,1.03528912842361,1.00533579673245,1.03471666777678,1.03989748641916,1.00382119410391,1.00552190689537
2025,"Africa_Western","Shrubland",5,271.8354204,271.8354204,271.8354204,1,1,1,1,1,1
2025,"Argentina","Crop",31,383.171873052944,436.239430885067,401.559759860466,1.13849544176952,1.04798861320643,0.934592,1.32819573998657,0.934268,1.1415698950202
2025,"Argentina","Forest",31,150.95974056,147.263313447068,145.370403578309,0.975513821769832,0.962974651645815,0.956444512972306,1.03842116409768,0.949860311253924,1.00619906006721
2025,"Argentina","Grassland",31,716.497604,734.998539193515,714.901435904515,1.02582134970198,0.99777226317775,1.01725876274874,1.03214896234317,0.983367149900923,1.00841740784792
2025,"Argentina","Pasture",31,1075.711649791,1186.2723858763,1104.18398265857,1.10277915657675,1.02646836898447,1.09622714300908,1.10798493924363,1.02214539130148,1.03177237835398
2025,"Argentina","Shrubland",31,172.3491753,189.431694358165,176.77719439531,1.09911575746406,1.02569213973669,1.09323254792641,1.14784148573921,1.02260473846314,1.05126251498311
