"year","region","basin_abr","agglt","gcam_reg_code","gcam_basin_code","agglt_area_thous_sqkm","above_wsum","below_wsum","above_scalar","below_scalar","above_scalar_min","above_scalar_max","below_scalar_min","below_scalar_max"
2025,"Africa_Eastern","RiftValley","Pasture",2,179,127.9648,145.574036128,137.25504448,1.13761,1.0726,1.13761,1.13761,1.0726,1.0726
2025,"Africa_Eastern","RiftValley","Shrubland",2,179,67.6518,58.5515504712,63.230078352,0.865484,0.93464,0.865484,0.865484,0.93464,0.93464
2025,"Africa_Eastern","ShebJubR","Crop",2,170,24.775307885,32.5443936871217,28.3223525940027,1.31358180645761,1.14316854206079,1,1.4334,1,1.18631
2025,"Africa_Eastern","ShebJubR","Forest",2,170,9.64843,13.6022601297,11.3047759781,1.40979,1.17167,1.40979,1.40979,1.17167,1.17167
2025,"Africa_Eastern","ShebJubR","Grassland",2,170,170.9546,207.66710035,184.581391166,1.21475,1.07971,1.21475,1.21475,1.07971,1.07971
2025,"Africa_Eastern","ShebJubR","Pasture",2,170,338.0183,410.607729925,364.961738693,1.21475,1.07971,1.21475,1.21475,1.07971,1.07971
2025,"Africa_Eastern","ShebJubR","Shrubland",2,170,238.4954,230.368669245,236.7052535276,0.965925,0.992494,0.965925,0.965925,0.992494,0.992494
2025,"Africa_Northern","AfrCstNE","Grassland",3,100,0.03667,0.03667,0.0384550956,1,1.04868,1,1,1.04868,1.04868
2025,"Africa_Northern","AfrCstNW","Crop",3,86,58.698920029,63.645690131956,59.8701396477202,1.08427361356073,1.01995300114792,1,1.35321,1,1.13667
2025,"Africa_Northern","AfrCstNW","Forest",3,86,28.7523,31.652832024,29.314119942,1.10088,1.01954,1.10088,1.10088,1.01954,1.01954
2025,"Africa_Northern","AfrCstNW","Grassland",3,86,1.553254,1.87381456052,1.67717260412,1.20638,1.07978,1.20638,1.20638,1.07978,1.07978
2025,"Africa_Northern","AfrCstNW","Pasture",3,86,141.09072,170.2090227936,152.3469376416,1.20638,1.07978,1.20638,1.20638,1.07978,1.07978
2025,"Africa_Northern","AfrCstNW","Shrubland",3,86,12.21163,13.1383706007,12.7069337128,1.07589,1.04056,1.07589,1.07589,1.04056,1.04056
2025,"Africa_Northern","AfrIntN","Crop",3,144,5.26333660984,5.90454447211183,5.35732781696776,1.12182535714571,1.01785772297976,1,1.21815,1,1.07803
2025,"Africa_Northern","AfrIntN","Forest",3,144,0.0489442,0.056712623424,0.05058627791,1.15872,1.03355,1.15872,1.15872,1.03355,1.03355
2025,"Africa_Northern","AfrIntN","Grassland",3,144,27.54015,33.0324821145,29.6891079045,1.19943,1.07803,1.19943,1.19943,1.07803,1.07803
2025,"Africa_Northern","AfrIntN","Pasture",3,144,419.47902,503.1357209586,452.2109679306,1.19943,1.07803,1.19943,1.19943,1.07803,1.07803
