# Year,C_FDBK,AG_FDBK,FULL_FDBK,CONTROL
2.039000000000000000e+03,2.882786274980120652e+03,2.874714369251244534e+03,2.879497771148274296e+03,2.882607815963353005e+03
2.040000000000000000e+03,2.885947949953753778e+03,2.877595043093742333e+03,2.881558063547265647e+03,2.885744049323134277e+03
2.041000000000000000e+03,2.886321983476778314e+03,2.880550079647912298e+03,2.879302821478400347e+03,2.886884904320351325e+03
2.042000000000000000e+03,2.884700193351540292e+03,2.879986491593994742e+03,2.876951409908077039e+03,2.885078671113117707e+03
2.043000000000000000e+03,2.885915942530454686e+03,2.879254841226169901e+03,2.877948591320021478e+03,2.886420762926992211e+03
2.044000000000000000e+03,2.889299390609885450e+03,2.880141853210652243e+03,2.880868463231649457e+03,2.887322039854290779e+03
2.045000000000000000e+03,2.892083702472591995e+03,2.882943001900186118e+03,2.882534343104877280e+03,2.890664447674564599e+03
2.046000000000000000e+03,2.894555655036142070e+03,2.884429216176044065e+03,2.881838933965501838e+03,2.891713545089753552e+03
2.047000000000000000e+03,2.897359676536636016e+03,2.887398648385928482e+03,2.884108547271189764e+03,2.895403597509786778e+03
2.048000000000000000e+03,2.897521377728876814e+03,2.891033529189698584e+03,2.884887427369380475e+03,2.900054404817008617e+03
2.049000000000000000e+03,2.900675176173062482e+03,2.889764883660800479e+03,2.884827040883024438e+03,2.901642513388361294e+03
2.050000000000000000e+03,2.902176306083419149e+03,2.889187898252975629e+03,2.886410890512131573e+03,2.901101109898871073e+03
2.051000000000000000e+03,2.902496885212931375e+03,2.891725439963528515e+03,2.889537696742750541e+03,2.901275452177534135e+03
2.052000000000000000e+03,2.904566820920109876e+03,2.894873628526115226e+03,2.893163258865972239e+03,2.904628394595594273e+03
2.053000000000000000e+03,2.904417946828799813e+03,2.893962459074279650e+03,2.893100475018871293e+03,2.904445983309150506e+03
2.054000000000000000e+03,2.905376491806159265e+03,2.895918980514016766e+03,2.895789828988142744e+03,2.907912167625994698e+03
2.055000000000000000e+03,2.908670215535518309e+03,2.899829593713621762e+03,2.899352103804142644e+03,2.911683784176570043e+03
2.056000000000000000e+03,2.906770666964515385e+03,2.900575550680021479e+03,2.899466307376394525e+03,2.911315677262553436e+03
2.057000000000000000e+03,2.908143805246422744e+03,2.901948655924602917e+03,2.898780251391298407e+03,2.911367852536985993e+03
2.058000000000000000e+03,2.914102685976547946e+03,2.905447484710575281e+03,2.900311965965325726e+03,2.915163435512986325e+03
2.059000000000000000e+03,2.915833988373742159e+03,2.904950231298103972e+03,2.902534701459989265e+03,2.915160227301348186e+03
2.060000000000000000e+03,2.919958341581501827e+03,2.907339611374466585e+03,2.908283833952789792e+03,2.918594391985447146e+03
2.061000000000000000e+03,2.922911431806246583e+03,2.911943005091419764e+03,2.910900964736350488e+03,2.922097787822641294e+03
2.062000000000000000e+03,2.921626436391978586e+03,2.914295407063320908e+03,2.909367363443726390e+03,2.918974386591210987e+03
2.063000000000000000e+03,2.924006017310159223e+03,2.916433691252427707e+03,2.912604174633381263e+03,2.921022542082104792e+03
2.064000000000000000e+03,2.925867964376723194e+03,2.918374170197566855e+03,2.915745184759584390e+03,2.924413126942158669e+03
2.065000000000000000e+03,2.925308498088328633e+03,2.917285463183079173e+03,2.916097126366334123e+03,2.925180721202499171e+03
2.066000000000000000e+03,2.927961252445983064e+03,2.919473590642323870e+03,2.918196137075025035e+03,2.927331182519057165e+03
2.067000000000000000e+03,2.928778989467003157e+03,2.924902314937863594e+03,2.921795665067134451e+03,2.928963292499463023e+03
2.068000000000000000e+03,2.930410206721403483e+03,2.926426560203397003e+03,2.924293769547046850e+03,2.932490284169468396e+03
2.069000000000000000e+03,2.931829049271058011e+03,2.927041887582685376e+03,2.926323838538344717e+03,2.935637320734860623e+03
2.070000000000000000e+03,2.934934621837676787e+03,2.929240344233731776e+03,2.929623884606422052e+03,2.939147677393008507e+03
2.071000000000000000e+03,2.936813690139353639e+03,2.932972425878093418e+03,2.930824039449249085e+03,2.940188954298564568e+03
2.072000000000000000e+03,2.937201723588384084e+03,2.934807752041907406e+03,2.928424188695145858e+03,2.942777469012164147e+03
2.073000000000000000e+03,2.936979216479386196e+03,2.935466538587178547e+03,2.931285857456745362e+03,2.945757635480196768e+03
2.074000000000000000e+03,2.940124183902685218e+03,2.936146349081249355e+03,2.933185569059770387e+03,2.946427613778761497e+03
2.075000000000000000e+03,2.940106827097074529e+03,2.934705189099660402e+03,2.934279749497337434e+03,2.944847225168657587e+03
2.076000000000000000e+03,2.944500937972076827e+03,2.940586844361994736e+03,2.937826705767101430e+03,2.948997199540953261e+03
2.077000000000000000e+03,2.946021518249030123e+03,2.943670901729140041e+03,2.939878601657863328e+03,2.951506320532690552e+03
2.078000000000000000e+03,2.946604058955047094e+03,2.945042250249819517e+03,2.941796231701041052e+03,2.952057829134729218e+03
2.079000000000000000e+03,2.947006602254028166e+03,2.944762096597918116e+03,2.941655946596295962e+03,2.952480478519407825e+03
2.080000000000000000e+03,2.952248230426652754e+03,2.946932707092339569e+03,2.945683394862991918e+03,2.956935749385118015e+03
2.081000000000000000e+03,2.954858174873600092e+03,2.947688753370827726e+03,2.947750729239846351e+03,2.959458917704240775e+03
2.082000000000000000e+03,2.958089438665293073e+03,2.947062208382948029e+03,2.947814303109962111e+03,2.961529974525896250e+03
2.083000000000000000e+03,2.956018422062991704e+03,2.945299792724865711e+03,2.947301644966926233e+03,2.961944406234827966e+03
2.084000000000000000e+03,2.956632026473906990e+03,2.948927694034410706e+03,2.951961236611857657e+03,2.966397754471803182e+03
2.085000000000000000e+03,2.958872617925085251e+03,2.952536524906608520e+03,2.955183006481534903e+03,2.969445165544153497e+03
2.086000000000000000e+03,2.961107045042148457e+03,2.955614912063123029e+03,2.957153453154191993e+03,2.969495557521183855e+03
2.087000000000000000e+03,2.962068867178608798e+03,2.955927157886246277e+03,2.956477663877260511e+03,2.970842487866915235e+03
2.088000000000000000e+03,2.964427146921731492e+03,2.959020233725195340e+03,2.959923488582838672e+03,2.970058546594016661e+03
2.089000000000000000e+03,2.970229345260362152e+03,2.962461645793139724e+03,2.963942430456285820e+03,2.971148432897402927e+03
2.090000000000000000e+03,2.971779673494794679e+03,2.963801539188427796e+03,2.961181892540669196e+03,2.972944160953161827e+03
2.091000000000000000e+03,2.974367157587463680e+03,2.964866250331177980e+03,2.961525423275134017e+03,2.977773940792109897e+03
2.092000000000000000e+03,2.977089067686925773e+03,2.965000375411024379e+03,2.964305170241227188e+03,2.981024020777380429e+03
2.093000000000000000e+03,2.977429171157918063e+03,2.964911757093173037e+03,2.963177718343540164e+03,2.979566871448197617e+03
2.094000000000000000e+03,2.978820006673533953e+03,2.966091274380273717e+03,2.965238727508865395e+03,2.982534351583035914e+03
2.095000000000000000e+03,2.980714991066126004e+03,2.966942765493654861e+03,2.965761297567912152e+03,2.983612379640986546e+03
2.096000000000000000e+03,2.983325679571112687e+03,2.967173901808570008e+03,2.966638145547221484e+03,2.983787580890126264e+03
2.097000000000000000e+03,2.984504992170432615e+03,2.970653189734400257e+03,2.967748925804712599e+03,2.984186281086246254e+03
2.098000000000000000e+03,2.987488306521074264e+03,2.974453604060230646e+03,2.972075012107221937e+03,2.986003997637085831e+03
2.099000000000000000e+03,2.989650229635156393e+03,2.976239839630377446e+03,2.975362539901545460e+03,2.990311348184724011e+03
2.100000000000000000e+03,nan,nan,nan,nan
