"Year","value","units","scenario","type","model"
2100,51608.7996487371,"area_thous_km2","CONTROL","b) Forest","GCAM"
2015,49918.3944115581,"area_thous_km2","FULL_FDBK","b) Forest","GCAM"
2020,50181.6818187581,"area_thous_km2","FULL_FDBK","b) Forest","GCAM"
2025,49935.9461919531,"area_thous_km2","FULL_FDBK","b) Forest","GCAM"
2030,49831.5747898131,"area_thous_km2","FULL_FDBK","b) Forest","GCAM"
2035,49746.7530736201,"area_thous_km2","FULL_FDBK","b) Forest","GCAM"
2040,50095.5990335808,"area_thous_km2","FULL_FDBK","b) Forest","GCAM"
2045,50260.0223896884,"area_thous_km2","FULL_FDBK","b) Forest","GCAM"
2050,50500.6151852657,"area_thous_km2","FULL_FDBK","b) Forest","GCAM"
2055,50947.9810779832,"area_thous_km2","FULL_FDBK","b) Forest","GCAM"
2060,51105.8277865274,"area_thous_km2","FULL_FDBK","b) Forest","GCAM"
2065,51262.978902792,"area_thous_km2","FULL_FDBK","b) Forest","GCAM"
2070,51209.7337401789,"area_thous_km2","FULL_FDBK","b) Forest","GCAM"
2075,51595.5451594979,"area_thous_km2","FULL_FDBK","b) Forest","GCAM"
2080,51673.6474645937,"area_thous_km2","FULL_FDBK","b) Forest","GCAM"
2085,51777.5447731716,"area_thous_km2","FULL_FDBK","b) Forest","GCAM"
2090,51895.5653423204,"area_thous_km2","FULL_FDBK","b) Forest","GCAM"
2095,52020.9995772823,"area_thous_km2","FULL_FDBK","b) Forest","GCAM"
2100,52030.2831272184,"area_thous_km2","FULL_FDBK","b) Forest","GCAM"
