region,scenario,GCAM_basin_ID,gcam_glu_abbr,year,LT_GCAM,lt_gcam_area_ha,AvailableUnmanaged_area_ha,AvailableUnmanaged_percent _of_AllUnmanaged,GCAM_region_ID,unit_id
Southeast Asia,Reference,119,Phlppns,2015,AllUnmanaged,13279645.87,10215539,76.9262908062774,29,29119
Southeast Asia,Reference,125,Mekong,2015,AllUnmanaged,35186309.21,29757334,84.5707738836755,29,29125
Southeast Asia,Reference,126,VietnamCst,2015,AllUnmanaged,10716051.962,9564706.9,89.2558839199104,29,29126
Southeast Asia,Reference,127,Salween,2015,AllUnmanaged,10521329.2451,9691208.03,92.1101108447243,29,29127
Southeast Asia,Reference,137,IrrawaddyR,2015,AllUnmanaged,23841148.195,20158754.75,84.5544626673128,29,29137
Southeast Asia,Reference,138,SittaungR,2015,AllUnmanaged,3447187.83954629,3287053.67,95.3546433498858,29,29138
Southeast Asia,Reference,139,MalaysiaP,2015,AllUnmanaged,17427048.319,13470654.8,77.2973974331241,29,29139
Southeast Asia,Reference,146,ChaoPhrR,2015,AllUnmanaged,8228799.109,6273229.7,76.2350571074076,29,29146
Southeast Asia,Reference,148,ThaiGulf,2015,AllUnmanaged,2792971.842,2065649.94,73.9588530373734,29,29148
Southeast Asia,Reference,158,IdnE,2015,AllUnmanaged,422.68,242.245,57.3116778650516,29,29158
Southeast Asia,Reference,159,BorneoCstN,2015,AllUnmanaged,13324234.631,11923459.82,89.4870148282966,29,29159
Southeast Asia,Reference,165,Kalimantan,2015,AllUnmanaged,613912.02,574194,93.5303400640372,29,29165
Southeast Asia,Reference,167,IrianJaya,2015,AllUnmanaged,3377280.4493,3168815.81,93.8274406751382,29,29167
Southeast Asia,Reference,173,PapuaCst,2015,AllUnmanaged,23536307.8861068,20360677.07,86.5075234761807,29,29173
Southeast Asia,Reference,175,JavaTimor,2015,AllUnmanaged,841763.03717332,757485.78,89.9880069031866,29,29175
Southeast Asia,Reference,176,SolomonIsl,2015,AllUnmanaged,1333971.15848795,1129454.475,84.668582811058,29,29176
Southeast Asia,Reference,178,SepikR,2015,AllUnmanaged,6514397.94088447,6009861.57,92.255057559226,29,29178
Southeast Asia,Reference,181,FlyR,2015,AllUnmanaged,5239702.02713152,4590053.972,87.6014313072079,29,29181
Southeast Asia,Reference,185,NewCaledn,2015,AllUnmanaged,2310699.04,2081363.4,90.0750536512968,29,29185
Taiwan,Reference,78,ChinaCst,2015,AllUnmanaged,2046.184,1175.73,57.4596419481337,30,30078
Taiwan,Reference,103,Taiwan,2015,AllUnmanaged,2182468.68118,1437276.42,65.8555347159852,30,30103
USA,Reference,7,PacArctic,2015,AllUnmanaged,77854108.07047,3295985.198,4.23354050246986,1,1007
USA,Reference,23,NelsonR,2015,AllUnmanaged,6453658.3,5723040,88.6790055184669,1,1023
USA,Reference,27,FraserR,2015,AllUnmanaged,16840.591,3494.816,20.752,1,1027
USA,Reference,96,MexCstNW,2015,AllUnmanaged,375011.464,356805.56,95.1452406798956,1,1096
USA,Reference,101,Caribbean,2015,AllUnmanaged,345423.76,250355.9,72.4779036624464,1,1101
USA,Reference,217,California,2015,AllUnmanaged,29961309,13415510,44.776114421436,1,1217
USA,Reference,218,MissppRN,2015,AllUnmanaged,22400596,20798440,92.8477081591936,1,1218
USA,Reference,219,MissppRS,2015,AllUnmanaged,11477791.7,10418850,90.7739944435479,1,1219
USA,Reference,220,UsaColoRN,2015,AllUnmanaged,24676601.1,7954690,32.2357603778747,1,1220
USA,Reference,221,UsaColoRS,2015,AllUnmanaged,32263137.5,17387060,53.891410901993,1,1221
USA,Reference,222,GreatBasin,2015,AllUnmanaged,31762585.7,5971801,18.8013691844994,1,1222
USA,Reference,223,MissouriR,2015,AllUnmanaged,87311735,80073790,91.7102265806538,1,1223
USA,Reference,224,ArkWhtRedR,2015,AllUnmanaged,42632677.2,40563372,95.14619926332,1,1224
USA,Reference,225,TexasCst,2015,AllUnmanaged,33395725.63,31479664,94.2625542824595,1,1225
USA,Reference,226,UsaCstSE,2015,AllUnmanaged,38290910.96,34121190,89.110415878181,1,1226
USA,Reference,227,GreatLakes,2015,AllUnmanaged,15894772,13057160,82.1475136604665,1,1227
USA,Reference,228,OhioR,2015,AllUnmanaged,20895733.2,19662930,94.1002156363673,1,1228
USA,Reference,229,UsaPacNW,2015,AllUnmanaged,48776789,27225340,55.8161792897027,1,1229
USA,Reference,230,TennR,2015,AllUnmanaged,5813733.73,5210733,89.6279953984064,1,1230
USA,Reference,231,RioGrande,2015,AllUnmanaged,30926209.4,26455118,85.5427112253854,1,1231
USA,Reference,232,UsaCstNE,2015,AllUnmanaged,8353372.8,6988137,83.6564722695005,1,1232
USA,Reference,233,UsaCstE,2015,AllUnmanaged,12490224.9,10348320,82.8513504188383,1,1233
USA,Reference,234,Hawaii,2015,AllUnmanaged,983684,631938,64.2419720154033,1,1234
